Main Tab;Top level Menu Item;Sub Menu Item;Section / Tab;Feature;Sub Feature;Priority;Delivery Milestone;Completion Status;Lost during conversion;Schema Conversion Map reference;Comments
;;;;Horizontal alignment;Left  / Center / Right / Other;2;0.3-M2;;;;
;;;Advanced Layout;Picture position;Horizontal;2;0.3-M2;;;;
;;;;;Vertical;2;0.3-M2;;;;
;;;;;Options;2;0.3-M2;;;;
;;;;Text Wrapping;Wrapping style;2;0.3-M2;;;;
;;;;;Wrap text;2;0.3-M2;;;;
;;;;;Distance from text;2;0.3-M2;;;;
;;;Text Box;Internal margin;Left/ Top / Right / Bottom;2;0.3-M2;;;;
;;;;Vertical alignment;Top/ Center / Bottom;2;0.3-M2;;;;
;;;;Options;Word wrap text in Autoshape;2;0.3-M2;;;;
;;;;;Resize autoshape to fit text;2;0.3-M2;;;;
;;;Colors and Lines;Fill;Color;3;1.0;;;;
;;;;;Fill Effects;3;1.0;;;;
;;;;Line;Color;3;1.0;;;;
;;;;;Style;3;1.0;;;;
;;;;;Weight;3;1.0;;;;
;;;;;Dashed;3;1.0;;;;
;;;Alt Text;;;3;0.3-M2;;;;
;;;;Arrows;Begin / end style Begin / end size;3;0.3-M2;;;;
;;;;;;3;;;;;
;;Text;Text direction;;;3;0.3-M2;;;;
;;;Hyperlink;;;3;0.3-M2;;;;
;;;;;;;;;;;
;;Shadow effects;;;;3;1.0;;;;
`;;3D Effects;;;;3;1.0;;;;
;;;;;;;;;;;
Drawing Tools;Shape styles;Colors and lines;Fill;Color;;2;Delayed;;;;
;;;;Transparency;;2;Delayed;;;;
;;;Line;Color;;2;Delayed;;;;
;;;;Style;;2;Delayed;;;;
;;;;Dashed;;2;Delayed;;;;
;;;;Weight;;2;Delayed;;;;
;;;;;;;;;;;
;;Size;Height;Absolute;;2;Delayed;;;;
;;;;Relative to Margin;;2;Delayed;;;;
;;;;Relative to Page;;2;Delayed;;;;
;;;;Relative to Top margin;;2;Delayed;;;;
;;;;Relative to Bottom margin;;2;Delayed;;;;
;;;;Relative to Inside margin;;2;Delayed;;;;
;;;;Relative to Outside margin;;2;Delayed;;;;
;;;Width;Absolute;;2;Delayed;;;;
;;;;Relative to Margin;;2;Delayed;;;;
;;;;Relative to Page;;2;Delayed;;;;
;;;;Relative to Top margin;;2;Delayed;;;;
;;;;Relative to Bottom margin;;2;Delayed;;;;
;;;;Relative to Inside margin;;2;Delayed;;;;
;;;;Relative to Outside margin;;2;Delayed;;;;
;;;Rotate;;;2;Delayed;;;;
;;;Scale;Height;;2;Delayed;;;;
;;;;Width;;2;Delayed;;;;
;;;;Lock aspect ratio;;2;Delayed;;;;
;;;;Relative to orginal picture size;;2;Delayed;;;;
;;;;;;;;;;;
;;Layout;Wrapping style;In line with text;;2;Delayed;;;;
;;;;Square;;2;Delayed;;;;
;;;;Tight;;2;Delayed;;;;
;;;;Behind text;;2;Delayed;;;;
;;;;In front of text;;2;Delayed;;;;
;;;Horizontal alignment;Left  / Center / Right / Other;;2;Delayed;;;;
;;;;;;;;;;;
;;Advanced Layout;Picture position;Horizontal;Alignment;2;Delayed;;;;
;;;;;Book layout;2;Delayed;;;;
;;;;;Absolute position;2;Delayed;;;;
;;;;;Relative position;2;Delayed;;;;
;;;;Vertical;Alignment;2;Delayed;;;;
;;;;;Absolute position;2;Delayed;;;;
;;;;;Relative position;2;Delayed;;;;
;;;;Options;Move object with text;2;Delayed;;;;
;;;;;Lock anchor;2;Delayed;;;;
;;;;;Allow overlap;2;Delayed;;;;
;;;;;Layout in table cell;2;Delayed;;;;
;;;Text Wrapping;Wrapping style;;2;Delayed;;;;
;;;;Wrap text;;2;Delayed;;;;
;;;;Distance from text;;2;Delayed;;;;
;;Alt Text;;;;2;Delayed;;;;
;;;;;;;;;;;
;Shadow Effects;;;;;3;Delayed;;;;
;;;;;;;;;;;
;3-D Effects;;;;;3;Delayed;;;;
;;;;;;;;;;;
Smart Art Tools;Format;Shape Styles;Fill;;;3;Delayed;;;;
;;;Line color;;;3;Delayed;;;;
;;;Line Style;;;3;Delayed;;;;
;;;Shadow;;;3;Delayed;;;;
;;;3-D Format;;;3;Delayed;;;;
;;;3-D Rotation;;;3;Delayed;;;;
;;;Picture;;;3;Delayed;;;;
;;;Text Box;;;3;Delayed;;;;
;;;;;;3;Delayed;;;;
;;WordArt Styles;Fill;;;3;Delayed;;;;
;;;Line color;;;3;Delayed;;;;
;;;Line Style;;;3;Delayed;;;;
;;;Shadow;;;3;Delayed;;;;
;;;3-D Format;;;3;Delayed;;;;
;;;3-D Rotation;;;3;Delayed;;;;
;;;Picture;;;3;Delayed;;;;
;;;Text Box;;;3;Delayed;;;;
;;Arrange;Picture position;Horizontal;Alignment;3;Delayed;;;;
;;;;;Book layout;3;Delayed;;;;
;;;;;Absolute position;3;Delayed;;;;
;;;;;Relative position;3;Delayed;;;;
;;;;Vertical;Alignment;3;Delayed;;;;
;;;;;Absolute position;3;Delayed;;;;
;;;;;Relative position;3;Delayed;;;;
;;;;Options;Move object with text;3;Delayed;;;;
;;;;;Lock anchor;3;Delayed;;;;
;;;;;Allow overlap;3;Delayed;;;;
;;;;;Layout in table cell;3;Delayed;;;;
;;;;;;;;;;;
;;;Text Wrapping;Wrapping style;Square;3;Delayed;;;;
;;;;;Tight;3;Delayed;;;;
;;;;;Throught;3;Delayed;;;;
;;;;;Top and Bottom;3;Delayed;;;;
;;;;;Behind text;3;Delayed;;;;
;;;;;In front of text;3;Delayed;;;;
;;;;;In line with text;3;Delayed;;;;
;;;;Wrap text;Both sides;3;Delayed;;;;
;;;;;Left only ;3;Delayed;;;;
;;;;;Right only;3;Delayed;;;;
;;;;;Largest only;3;Delayed;;;;
;;;;Distance from text;Top;3;Delayed;;;;
;;;;;Bottom;3;Delayed;;;;
;;;;;Left;3;Delayed;;;;
;;;;;Right;3;Delayed;;;;
;;;;;;;;;;;
;;Size;Height;;;3;Delayed;;;;
;;;Width;;;3;Delayed;;;;
;;;;;;;;;;;
Page layout;Page setup;Margins;Margins;Top / Bottom/ Right /Left;;0;0.2-Final ;Completed;;;
;;;;Gutter/ Gutter position;;0;0.2-Final ;Completed;;;
;;;Orientation;Portrait/Landscape;;0;0.2-Final ;Completed;;;
;;;Pages;Multiple pages;Normal;1;0.3-M2;;;;
;;;;;Mirror margins;1;0.3-M2;;;;
;;;;;2 pages per sheet;1;0.3-M2;;;;
;;;;;Book fold;1;0.3-M2;;;;
;;Paper;Paper Size;Paper size;;0;0.2-Final ;Completed;;;
;;;;Width;;0;0.2-Final ;Completed;;;
;;;;Height;;0;0.2-Final ;Completed;;;
;;Layout;Section;Section start;New page;1;Delayed;;;;
;;;;;Even page;1;-;;;;There is Word 2007 bug, see coment in Conversion Issues.
;;;;;Odd page;1;-;;;;There is Word 2007 bug, see coment in Conversion Issues.
;;;;;Continuous;1;0.3-M2;Completed;;;
;;;;;New column;1;0.3-M2;;;;
;;;Header and Footer;Different odd and even;;1;0.3-M2;Completed;;;
;;;;Different first page;;1;0.3-M2;Completed;;;
;;;;From edge;Header;1;0.3-M2;;;;
;;;;;Footer;1;0.3-M2;;;;
;;;Page;Vertical alignment to;Top;0;-;;not supported;;
;;;;;Center;0;-;;not supported;;
;;;;;Justified;0;-;;not supported;;
;;;;;Bottom;0;-;;not supported;;
;;Columns;Presets;One /Two / Three/ Left / Right;;1;0.3-M2;Completed;;;
;;;Number of columns;;;1;0.3-M2;Completed;;;
;;;Line Between;;;1;0.3-M2;Completed;;;
;;;Width and spacing;;;1;0.3-M2;Completed;;;
;;;Equal column width;;;1;0.3-M2;Completed;;;
;;;;;;;;;;;
;Page background;Page color;Selected color;;;2;0.2-Final ;Completed;In ODF page background color is set excluding the margin area;;
;;Page Borders;Settings;None/Box/Shadow/3D/custom;;2;0.3-M2;;;;
;;;Style;Selected style;;2;0.3-M2;;;;
;;;Color;Selected color;;2;0.3-M2;;;;
;;;Width;Selected width;;2;0.3-M2;;;;
;;;;;;;;;;;
;Themes;Colors;;;;2;0.3-M2;;;;
;;Fonts;;;;2;0.3-M2;;;;
;;Effects;;;;2;0.3-M2;;;;
;;;;;;;;;;;
References;Table of contents;Table of contents;Show page numbers;;;1;0.3-M2;Completed;;;
;;;Right align page numbers;;;1;0.3-M2;;;;
;;;Use hyperlinks instead of page numbers;;;1;0.3-M2;;;;
;;;Tab leader;;;1;0.3-M2;;;;
;;;Show levels;;;1;0.3-M2;;;;
;;;Options;Build TOC from;Styles;1;0.3-M2;;;;
;;;;;Outline levels;1;0.3-M2;Completed;;;
;;;;;Table entry fields;1;0.3-M2;;;;
;;;;;;;;;;;
;Foot notes;Footnote and Endnote;Footnotes;;;2;0.3-M1;Completed;;;
;;;Endnotes;;;2;0.3-M1;Completed;;;
;;;Format;Number format;;2;0.3-M1;Completed;;;
;;;;Custom mark;;2;0.3-M1;Completed;;;
;;;;Start at;;2;-;;not supported;;
;;;;Numbering;Continuous;2;-;;not supported;;
;;;;;Restart each section;2;-;;not supported;;
;;;;Apply changes to;This section;2;-;;not supported;;
;;;;;Whole document;2;-;;not supported;;
;Index;Mark entry;Index;Main entry;;3;1.0;;;;
;;;;subentry;;3;1.0;;;;
;;;Options;Cross reference;;3;1.0;;;;
;;;;Current page;;3;1.0;;;;
;;;;Page range;;3;1.0;;;;
;;;Page number format;Bold / Italic;;3;1.0;;;;
;;Insert index;Type;Indented /  Run-in;;3;1.0;;;;
;;;Columns;;;3;1.0;;;;
;;;Language;;;3;1.0;;;;
;;;Right align page numbers;;;3;1.0;;;;
;;;Tab  leader;;;3;1.0;;;;
;;;;;;;;;;;
;Captions;Insert caption;Caption;;;3;1.0;;;;
;;;Label;Figure / Table;;3;1.0;;;;
;;;Position;Above / Below selected item;;3;1.0;;;;
;;;Numbering;;;3;1.0;;;;
;;;Exclude label from caption;;;3;1.0;;;;
;;Insert table of figures;Show page numbers;;;3;1.0;;;;
;;;Right align page numbers;;;3;1.0;;;;
;;;Use hyperlinks instead of page numbers;;;3;1.0;;;;
;;;Tab leader;;;3;1.0;;;;
;;;Caption label;;;3;1.0;;;;
;;;Include label and number;;;3;1.0;;;;
;;;Options;Build TOF from;Style;3;1.0;;;;
;;;;;Table entry fields;3;1.0;;;;
;;;;Table identifier;;3;1.0;;;;
;;;;;;;;;;;
;Citations & Bibliography;Insert citation;Add new source;Type of Source;;2;0.3-M2;;;;
;;;;Author;;2;0.3-M2;;;;
;;;;Corporate Author;;2;0.3-M2;;;;
;;;;Title;;2;0.3-M2;;;;
;;;;Year;;2;0.3-M2;;;;
;;;;City;;2;0.3-M2;;;;
;;;;Publisher;;2;0.3-M2;;;;
;;Bibliography;Insert Bibliography;;;2;0.3-M2;;;;
;;;;;;;;;;;
Review;Comments;New Comment;;;;2;0.3-M2;;;;
;;;;;;;;;;;
;Tracking;Track changes;;;;2;1.0;;;;
;;Change tracking options;Markup;;;2;1.0;;;;
;;;Moves;;;2;1.0;;;;
;;;Table cell highlighting;;;2;1.0;;;;
;;;Formatting;;;2;1.0;;;;
;;;BalODFns;;;2;1.0;;;;
;;;;;;;;;;;
;Protect;Protect document;;;;3;1.0;;;;
;;;;;;;;;;;
Developer;Controls;Controls;;;;3;Delayed;;;;
;;Legacy Forms;(check box, Text box, Dropdown list etc.);;;3;Delayed;;;;
;;ActiveXcontrols;(Combo box, radio button, scroll bar etc.);;;3;Delayed;;;;
