OOX Experience / Scenario;Feature;Priority ;Delivery Milestone ;Completion Status;Developer;Technical description;Remarks/Questions
;defaultFonts (Default Document Fonts) ;;;;;;
;embedBold (Bold Style Font Embedding) ;;;;;;
;embedBoldItalic (Bold+Italic Font Embedding) ;;;;;;
;embedItalic (Italic Font Embedding) ;;;;;;
;embedRegular (Regular Font Embedding) ;;;;;;
;embedSystemFonts (Do not embed system fonts ) ;;;;;;
;embedTrueTypeFonts (Embed TrueType Fonts) ;;;;;;
;family (Font Family) ;;;;;;
;font (Font) ;;;;;;
;fonts (Font Definitions) ;;;;;;
;fonts (Font Definitions) ;;;;;;
;notTrueType (Not a true type font) ;;;;;;
;panose1 (Panose typface classification number);;;;;;
;pitch (Font pitch);;;;;;
;saveSubsetFonts (Save subset fonts);;;;;;
;sig (Glyph information) ;;;;;;
Numbering;;;;;;;
;abstractNumId (Abstract Numbering Definition Reference) ;;;Completed;tomek_mueller;text:list-style;
;ilvl (Numbering Level Reference);;;Completed;tomek_mueller;text:list-level-style-bullet/@text:level|text:list-level-style-number/@text:level;
;isLgl (Display All Levels Using Arabic Numerals) ;;;;;;
;legacy (Legacy Numbering Level Properties) ;;;;;;
;lvl (Numbering Level Override Definition) ;;;Completed;;text:list-level-style-bullet|text:list-level-style-number;
;lvl (Numbering Level Definition) ;;;Completed;tomek_mueller;text:list-level-style-bullet|text:list-level-style-number;
;lvlJc (Justification) ;;;;;;
;lvlOverride (Numbering Level Definition Override) ;;;;;;
;lvlPicBulletId (Picture Numbering Symbol Definition Reference) ;;;;;;
;lvlRestart (Restart Numbering Level Symbol) ;;;;;;
;lvlText (Numbering Level Text) ;;;Completed;tomek_mueller;text:list-level-style-bullet/@text:bullet-char;
;multiLevelType (Abstract Numbering Definition Type);;;;;;
;name (Abstract Numbering Definition Name) ;;;;;;
;nsid (Abstract Numbering Definition Identifier);;;;;;
;num (Numbering Definition Instance);;;Completed;tomek_mueller;text:list-style;
;numbering (Numbering Definitions) ;;;Completed;tomek_mueller;text:list-level-style-bullet | text:list-level-style-number;
;numFmt (Numbering Format) ;;;Completed;tomek_mueller;text:list-level-style-number/@style:num-format;
;numId (Numbering Definition Instance Reference);;;Completed;tomek_mueller;text:list-style/@style:name;
;numIdMacAtCleanup (Last Reviewed Abstract Numbering Definition);;;;;;
;numPicBullet (Picture Numbering Symbol Definition) ;;;;;;
;numStyleLink (Numbering Style Reference) ;;;;;;
;pict (Picture Numbering Symbol Properties) ;;;;;;
;pPr (Numbering Level Associated Paragraph Properties) ;;;;;;
;pStyle (Paragraph Style's Associated Numbering Level) ;;;;;;
;rPr (Numbering Symbol Run Properties) ;;;;;;
;start (Starting Value) ;;;Completed;;text:list-level-style-number/@text:start-value;
;startOverride (Numbering Level Starting Value Override) ;;;;;;
;styleLink (Numbering Style Definition);;;;;;
;suff (Content Between Numbering Symbol and Paragraph Text) ;;;;;;
;tmpl (Numbering Template Code) ;;;;;;
Headers and Footers;;;;;;;
;evenAndOddHeaders (Different Even/Odd Page Headers and Footers) ;;;Completed;;;
;footerReference (Footer Reference);;;Completed;;;
;ftr (Footer);;;Completed;;;
;hdr (Header) ;;;Completed;;;
;headerReference (Header Reference) ;;;Completed;;;
;titlePg (Different First Page Headers and Footers) ;;;Completed;;;
Footnotes and Endnotes;;;;;;;
;continuationSeparator (Continuation Separator Mark) ;;;;;;
;endnote (Endnote Content) ;;;Completed;;text:note/text:note-citation;
;endnote (Special Endnote List) ;;;Completed;;text:note/text:note-citation;
;endnotePr (Document-Wide Endnote Properties) ;;;;;;
;endnotePr (Section-Wide Endnote Properties);;;;;;
;endnoteRef (Endnote Reference Mark) ;;;;;;
;endnoteReference (Endnote Reference);;;Completed;;text:note;
;endnotes (Document Endnotes);;;Completed;;text:note;
;footnote (Special Footnote List) ;;;Completed;;text:note;
;footnote (Footnote Content) ;;;Completed;;text:note;
;footnotePr (Document-Wide Footnote Properties) ;;;;;;
;footnotePr (Section-Wide Footnote Properties) ;;;;;;
;footnoteRef (Footnote Reference Mark);;;;;;
;footnoteReference (Footnote Reference) ;;;Completed;;text:note;
;footnotes (Document Footnotes) ;;;;;;
