ODF Experience / Scenario;Feature;Sub Feature;Priority ;Delivery Milestone ;Completion Status;Technical description;Comment
;;Cell Border;;0.1;Partial;"table:table-cell is converted to w:tc
Based on style:table-cell-properties of the table style name the following properties have been converted :
w:tc/w:tcBorders children w:top, w:bottom, w:left, w:right have their attributes @w:val set to 'single'
@w:color set to substring-after(style:table-cell-properties/@fo:border, '#') and  
@w:sz set to substring-before(style:table-cell-properties/@fo:border, ' ')";
;;Diagonal Lines;;;;;
;;Border Line Width;;;;;
;;Padding;;0.1;Partial;"w:tc/w:tcMar/w:top is based on @fo:padding or @fo:padding-top (whether defined or not) attribute found in style:table-cell-properties. 
w:tc/w:tcMar/w:top/@w:type is set to 'dxa'
The same applies to the elements w:bottom, w:right and w:left";
;;Wrap Option;;;;;
;;Rotation Angle;;;;;
;;Rotation Align;;;;;
;;Cell Protect;;;;;
;;Print Content;;;;;
;;Decimal places;;;;;
;;Repeat Content;;;;;
;;Shrink To Fit;;;;;
;List-Level Style Properties;;;;;;
;StrCompletede Properties;;;;;;
;;StrCompletede Style;;;;;
;;Dash;;;;;
;;Multiple Dashes;;;;;
;;Width;;;;;
;;Color;;;;;
;;Start Marker;;;;;
;;End Marker;;;;;
;;Start Marker Width;;;;;
;;End Marker Width;;;;;
;;Start Marker Center;;;;;
;;End Marker Center;;;;;
;;Opacity;;;;;
;;Line Join;;;;;
;Fill Properties;;;;;;
;;Fill Style;;;;;
;;Color;;;;;
;;Secondary Fill Color;;;;;
;;Gradient;;;;;
;;Gradient Step Count;;;;;
;;Hatch;;;;;
;;Solid Hatch;;;;;
;;Fill Image;;;;;
;;Fill Image Rendering Style;;;;;
;;Fill Image Size;;;;;
;;Fill Image Tile Reference Point;;;;;
;;Fill Image Tile Translation;;;;;
;;None and Linear Opacity;;;;;
;;Gradient Opacity;;;;;
;;Fill Rule;;;;;
;;Symbol color;;;;;
;Text Animation Properties;;;;;;
;;Animation;;;;;
;;Animation Direction;;;;;
;;Animation Start Inside;;;;;
;;Animation Stop Inside;;;;;
;;Animation Repeat;;;;;
;;Animation Delay;;;;;
;;Animation Steps;;;;;
;Text and Text Alignment Properties;;;;;;
;;Auto Grow Width and Height;;;;;
;;Fit To Size;;;;;
;;Fit To Contour;;;;;
;;Text Area Vertical Align;;;;;
;;Text Area Horizontal Align;;;;;
;;Word Wrap;;;;;
;;List Styles;;;;;
;Color Properties;;;;;;
;;Color Mode;;;;;
;;Color Inversion;;;;;
;;Adjust Luminance;;;;;
;;Adjust Contrast;;;;;
;;Adjust Gamma;;;;;
;;Adjust Red;;;;;
;;Adjust Green;;;;;
;;Adjust Blue;;;;;
;;Adjust Opacity;;;;;
;Shadow Properties;;;;;;
;;Shadow;;;;;
;;Offset;;;;;
